IDDOCUMENTO;PRIMOIDENTIFICATIVO;ULTIMOIDENTIFICATIVO;DATASCADENZAAFFITTO;SUPERFICIEUBA;CUAATERZOSOGGETTO;STATO
APPAG.TT.2016.107TN001.001;4860913;;;;;
APPAG.TT.2016.107TN001.001;4860914;;;;;
APPAG.TT.2016.107TN001.001;4860915;;;;;
APPAG.TT.2016.107TN001.001;4860916;;;;;
APPAG.TT.2016.107TN001.001;4860917;;;;;
APPAG.TT.2016.107TN001.001;4860918;;;;;
APPAG.TT.2016.107TN001.001;4860919;;;;;
APPAG.TT.2016.107TN001.001;4860920;;;;;
APPAG.TT.2016.107TN001.001;4860921;;;;;
APPAG.TT.2016.107TN001.001;4860922;;;;;
APPAG.TT.2016.107TN001.001;4860923;;;;;
APPAG.TT.2016.105TN003.001;6187348;;;;;
APPAG.TT.2016.105TN003.001;6187349;;;;;
APPAG.TT.2016.105TN003.001;6187350;;;;;
APPAG.TT.2016.105TN003.001;6187351;;;;;
APPAG.TT.2016.105TN003.001;6187352;;;;;
APPAG.TT.2016.105TN003.002;2806583;;;;;
APPAG.TT.2016.105TN003.002;2806534;;;;;
APPAG.TT.2016.105TN003.002;2806585;;;;;
APPAG.TT.2016.105TN003.002;2806586;;;;;
APPAG.TT.2016.107TN001.002;8514151;;;;;
APPAG.TT.2016.107TN001.002;8514152;;;;;
APPAG.TT.2016.107TN001.002;8514153;;;;;
APPAG.TT.2016.107TN001.002;8514154;;;;;
APPAG.TT.2016.105TN001.003;8713272;;;;;
APPAG.TT.2016.105TN001.003;8713273;;;;;
APPAG.TT.2016.105TN001.003;8713274;;;;;
APPAG.TT.2016.105TN001.003;8713275;;;;;
APPAG.TT.2016.105TN001.003;8713276;;;;;
APPAG.TT.2016.105TN001.003;8713277;;;;;
APPAG.TT.2016.105TN001.003;8713278;;;;;
APPAG.TT.2016.105TN001.004;8342738;;;;;
APPAG.TT.2016.105TN001.004;8342739;;;;;
APPAG.TT.2016.105TN001.004;8342740;;;;;
APPAG.TT.2016.105TN001.004;8342741;;;;;
APPAG.TT.2016.105TN001.004;8342742;;;;;
APPAG.TT.2016.105TN001.004;8342743;;;;;
APPAG.TT.2016.105TN001.004;8342744;;;;;
APPAG.TT.2016.107TN003.001;10336161;;;;;
APPAG.TT.2016.107TN003.001;10336162;;;;;
APPAG.TT.2016.107TN003.001;10336163;;;;;
APPAG.TT.2016.107TN003.001;10336164;;;;;
APPAG.TT.2016.107TN003.001;10336165;;;;;
APPAG.TT.2016.107TN003.001;10336166;;;;;
APPAG.TT.2016.107TN003.001;10336167;;;;;
APPAG.TT.2016.107TN003.001;10336168;;;;;
APPAG.TT.2016.107TN003.001;10336169;;;;;
APPAG.TT.2016.107TN003.001;10336170;;;;;
APPAG.TT.2016.107TN003.001;10336171;;;;;
APPAG.TT.2016.107TN003.001;10336172;;;;;
APPAG.TT.2016.107TN003.001;10336173;;;;;
APPAG.TT.2016.107TN003.001;10336174;;;;;
APPAG.TT.2016.107TN003.001;10336175;;;;;
APPAG.TT.2016.107TN003.001;10336176;;;;;
APPAG.TT.2016.107TN003.001;10336177;;;;;
APPAG.TT.2016.107TN003.001;10336178;;;;;
APPAG.TT.2016.107TN003.001;10336179;;;;;
APPAG.TT.2016.107TN003.001;10336180;;;;;
APPAG.TT.2016.107TN003.001;10336181;;;;;
APPAG.TT.2016.107TN003.001;10336182;;;;;
APPAG.TT.2016.107TN003.001;10336183;;;;;
APPAG.TT.2016.107TN003.001;10336184;;;;;
APPAG.TT.2016.107TN003.001;10336185;;;;;
APPAG.TT.2016.107TN003.001;10336186;;;;;
APPAG.TT.2016.105TN001.001;3858882;;;;;
APPAG.TT.2016.105TN001.001;3858883;;;;;
APPAG.TT.2016.105TN001.001;3858884;;;;;
APPAG.TT.2016.105TN001.001;3858885;;;;;
APPAG.TT.2016.105TN001.001;3858886;;;;;
APPAG.TT.2016.105TN001.002;1509608;;;;;
APPAG.TT.2016.105TN001.002;1509609;;;;;
APPAG.TT.2016.105TN001.002;1509610;;;;;
APPAG.TT.2016.105TN001.002;1509611;;;;;
APPAG.TT.2016.105TN001.002;1509612;;;;;
APPAG.TT.2016.105TN001.002;1509613;;;;;
APPAG.TT.2016.105TN001.002;1509614;;;;;
APPAG.TT.2016.105TN001.002;1509615;;;;;
APPAG.TT.2016.105TN001.002;1509616;;;;;
APPAG.TT.2016.107TN001.004;10310969;;;;;
APPAG.TT.2016.107TN001.004;10310970;;;;;
APPAG.TT.2016.107TN001.004;10310971;;;;;
APPAG.TT.2016.107TN001.004;10310972;;;;;
APPAG.TT.2016.107TN001.004;10310973;;;;;
APPAG.TT.2016.105TN004.001;8855216;;;;;
APPAG.TT.2016.105TN004.001;8855217;;;;;
APPAG.TT.2016.105TN004.001;8855218;;;;;
APPAG.TT.2016.105TN004.001;8855219;;;;;
APPAG.TT.2016.105TN004.001;8855220;;;;;
APPAG.TT.2016.105TN004.001;8855221;;;;;
APPAG.TT.2016.105TN004.001;8855222;;;;;
APPAG.TT.2016.105TN004.001;8855223;;;;;
APPAG.TT.2016.105TN004.001;8855224;;;;;
APPAG.TT.2016.105TN004.002;6687519;;;;;
APPAG.TT.2016.105TN004.002;6687520;;;;;
